Time,Latitude,Longitude,counts
1746052653.31,0,0,1475.0
1746052655.31,0,0,46.5
1746052657.31,0,0,39.0
1746052659.31,0,0,39.0
1746052661.31,0,0,40.0
1746052663.31,0,0,35.0
1746052665.31,0,0,36.5
1746052667.29,0,0,36.5
1746052669.31,0,0,41.5
1746052671.31,0,0,50.0
1746052673.31,0,0,47.0
1746052675.31,0,0,40.0
1746052677.29,0,0,40.0
1746052679.31,0,0,47.0
1746052681.31,0,0,58.0
1746052683.31,0,0,63.5
1746052685.3,0,0,63.5
1746052687.32,0,0,50.0
1746052689.31,0,0,58.0
1746052691.31,0,0,59.0
1746052693.31,0,0,61.0
1746052695.29,0,0,61.0
1746052697.32,0,0,62.0
1746052699.31,0,0,64.0
1746052701.31,0,0,57.5
1746052703.31,0,0,55.5
1746052705.29,0,0,55.5
1746052707.31,0,0,48.0
1746052709.31,0,0,61.0
1746052711.31,0,0,55.0
1746052713.29,0,0,55.0
1746052715.31,0,0,61.0
1746052717.31,0,0,46.0
1746052719.31,0,0,48.0
1746052721.31,0,0,53.0
1746052723.31,0,0,53.0
1746052725.31,0,0,56.0
1746052727.32,0,0,40.5
1746052729.31,0,0,53.5
1746052731.31,0,0,63.0
1746052733.29,0,0,63.0
1746052735.31,0,0,44.5
1746052737.31,0,0,50.5
1746052739.31,0,0,50.5
1746052741.29,0,0,50.5
1746052743.32,0,0,51.0
1746052745.31,0,0,67.0
1746052747.31,0,0,50.5
1746052749.31,0,0,58.5
1746052751.3,0,0,58.5
1746052753.33,0,0,63.0
1746052755.31,0,0,55.0
1746052757.31,0,0,50.5
1746052759.29,0,0,50.5
1746052761.31,0,0,60.5
1746052763.31,0,0,63.0
1746052765.31,0,0,49.0
1746052767.31,0,0,60.0
1746052769.28,0,0,60.0
1746052771.31,0,0,53.0
1746052773.32,0,0,54.5
1746052775.31,0,0,51.5
1746052777.31,0,0,55.5
1746052779.3,0,0,55.5
1746052781.31,0,0,59.0
1746052783.31,0,0,50.0
1746052785.31,0,0,67.0
1746052787.31,0,0,57.5
1746052789.29,0,0,57.5
1746052791.31,0,0,52.5
1746052793.33,0,0,54.5
1746052795.31,0,0,61.0
1746052797.29,0,0,61.0
1746052799.31,0,0,61.5
1746052801.31,0,0,63.5
1746052803.33,0,0,51.5
1746052805.31,0,0,53.5
1746052807.28,0,0,53.5
1746052809.31,0,0,57.5
1746052811.31,0,0,59.5
1746052813.32,0,0,51.0
1746052815.29,0,0,51.0
1746052817.31,0,0,51.5
1746052819.31,0,0,47.5
1746052821.31,0,0,59.0
1746052823.32,0,0,58.5
1746052825.29,0,0,58.5
1746052827.31,0,0,57.0
1746052829.31,0,0,52.0
1746052831.31,0,0,54.5
1746052833.31,0,0,50.0
1746052835.3,0,0,50.0
1746052837.31,0,0,48.5
1746052839.31,0,0,56.0
1746052841.31,0,0,48.0
1746052843.31,0,0,52.0
1746052845.29,0,0,52.0
1746052847.31,0,0,57.5
1746052849.31,0,0,59.0
1746052851.31,0,0,58.5
1746052853.29,0,0,58.5
1746052855.31,0,0,51.5
1746052857.31,0,0,61.5
1746052859.31,0,0,56.0
1746052861.31,0,0,53.5
1746052863.29,0,0,53.5
1746052865.31,0,0,49.0
1746052867.31,0,0,50.5
1746052869.32,0,0,58.5
1746052871.29,0,0,58.5
1746052873.31,0,0,49.5
1746052875.31,0,0,57.5
1746052877.31,0,0,48.5
1746052879.32,0,0,55.5
1746052881.29,0,0,55.5
1746052883.31,0,0,53.5
1746052885.31,0,0,71.5
1746052887.31,0,0,58.5
1746052889.32,0,0,51.5
1746052891.29,0,0,51.5
1746052893.31,0,0,57.5
1746052895.31,0,0,57.0
1746052897.31,0,0,50.5
1746052899.29,0,0,50.5
1746052901.31,0,0,61.5
1746052903.31,0,0,54.0
1746052905.31,0,0,63.5
1746052907.31,0,0,52.5
1746052909.29,0,0,52.5
1746052911.31,0,0,54.5
1746052913.31,0,0,43.0
1746052915.31,0,0,62.0
1746052917.31,0,0,49.0
1746052919.29,0,0,49.0
1746052921.31,0,0,46.0
1746052923.31,0,0,54.0
1746052925.31,0,0,51.0
1746052927.31,0,0,56.5
1746052929.3,0,0,56.5
1746052931.31,0,0,48.0
1746052933.31,0,0,47.0
1746052935.31,0,0,65.0
1746052937.31,0,0,49.0
1746052939.3,0,0,49.0
1746052941.31,0,0,61.5
1746052943.31,0,0,51.5
1746052945.31,0,0,59.5
1746052947.29,0,0,59.5
1746052949.31,0,0,63.0
1746052951.31,0,0,55.5
1746052953.31,0,0,71.5
1746052955.31,0,0,60.0
1746052957.29,0,0,60.0
1746052959.31,0,0,53.0
1746052961.31,0,0,54.5
1746052963.31,0,0,55.5
