Time,Latitude,Longitude,counts
1746065572.82,37.87266723229082,-122.24112820401163,51.5
1746065574.82,37.87266723229082,-122.24112820401163,58.0
1746065576.8,37.87266723229082,-122.24112820401163,58.0
1746065578.82,37.872667232290816,-122.24112820401163,53.5
1746065580.83,37.872667232290816,-122.24112820401163,51.5
1746065582.82,37.8726672322907,-122.24112820401163,54.0
1746065584.82,37.87266723229054,-122.24112820401163,56.0
1746065586.79,37.87266723229034,-122.24112820401166,56.0
1746065588.82,37.872667232290055,-122.2411282040117,47.5
1746065590.84,37.87266723228969,-122.24112820401173,69.0
1746065592.86,37.87266723228929,-122.24112820401179,67.5
1746065594.82,37.87266723228884,-122.24112820401183,54.0
1746065596.8,37.87266723228832,-122.24112820401189,54.0
1746065598.82,37.872667232287725,-122.24112820401196,65.5
1746065600.82,37.872667232287064,-122.24112820401206,55.5
1746065602.82,37.87266723228635,-122.24112820401214,54.0
1746065604.82,37.87266723228562,-122.24112820401224,59.5
1746065606.8,37.8726672322848,-122.24112820401234,59.5
1746065608.82,37.87266723228389,-122.24112820401247,60.0
1746065610.82,37.8726672322829,-122.24112820401257,60.0
1746065612.82,37.87266723228223,-122.24112820401264,61.5
1746065614.83,37.87266723228118,-122.24112820401275,50.0
1746065616.8,37.87266723228005,-122.24112820401288,50.0
1746065618.86,37.87266723227884,-122.24112820401301,40.5
1746065620.82,37.87266723227759,-122.24112820401315,57.0
1746065622.82,37.8726672322763,-122.24112820401331,64.0
1746065624.85,37.87266723227497,-122.24112820401344,53.0
1746065626.81,37.872667232273564,-122.24112820401362,53.0
1746065628.82,37.872667232272086,-122.24112820401379,53.5
1746065630.82,37.87266723227056,-122.24112820401395,54.5
1746065632.82,37.872667232269,-122.24112820401412,55.0
1746065634.8,37.872667232267375,-122.24112820401433,55.0
1746065636.82,37.872667232265655,-122.2411282040145,50.5
1746065638.82,37.87266723226388,-122.24112820401469,50.0
1746065640.82,37.872667232262074,-122.24112820401488,52.0
1746065642.82,37.87266723226022,-122.24112820401511,57.5
1746065644.8,37.87266723225827,-122.24112820401534,57.5
1746065646.82,37.87266723225629,-122.24112820401557,61.5
1746065648.82,37.87266723225235,-122.24112820401604,51.5
1746065650.79,37.87266723225235,-122.24112820401604,51.5
1746065652.82,37.872667232250215,-122.24112820401629,45.0
1746065654.84,37.872667232248,-122.24112820401653,64.5
1746065656.82,37.872667232245725,-122.24112820401679,58.0
1746065658.82,37.872667232243415,-122.24112820401704,51.5
1746065660.8,37.87266723224105,-122.2411282040173,51.5
1746065662.82,37.87266723224105,-122.2411282040173,50.0
1746065664.83,37.87266723224105,-122.2411282040173,51.5
1746065666.82,37.87266723224105,-122.2411282040173,54.5
1746065668.82,37.87266723224105,-122.2411282040173,53.5
1746065670.81,37.87266723224105,-122.2411282040173,53.5
1746065672.82,37.872667232225496,-122.24112820401906,50.5
1746065674.82,37.872667232222675,-122.24112820401939,51.0
1746065676.82,37.87266723221978,-122.24112820401972,61.5
1746065678.8,37.872667232216884,-122.24112820402004,61.5
1746065680.82,37.87266723221389,-122.24112820402038,59.5
1746065682.85,37.87266723221082,-122.24112820402074,57.5
1746065684.82,37.87266723220768,-122.24112820402112,47.0
1746065686.82,37.87266723220451,-122.24112820402148,65.5
1746065688.8,37.872667232201316,-122.24112820402186,65.5
1746065690.83,37.87266723219801,-122.24112820402223,61.5
1746065692.82,37.872667232194644,-122.24112820402262,62.5
1746065694.82,37.87264554278222,-122.23990252102097,72.0
1746065696.82,37.8726152456942,-122.23989419900245,56.0
1746065698.82,37.8726152456942,-122.23989419900245,56.0
1746065700.82,37.872634118328335,-122.23994765001838,63.5
1746065702.82,37.87263411832802,-122.23994765001845,55.5
1746065704.82,37.872634118327646,-122.23994765001851,64.5
1746065706.8,37.87263411832724,-122.23994765001858,64.5
1746065708.82,37.872634118326765,-122.23994765001869,54.0
1746065710.82,37.87263411832621,-122.23994765001879,61.0
1746065712.84,37.87263411832559,-122.23994765001886,59.5
1746065714.82,37.87263411832493,-122.23994765001899,53.5
1746065716.8,37.87263411832423,-122.23994765001912,53.5
1746065718.82,37.87263411832344,-122.23994765001927,50.0
1746065720.82,37.872634118322466,-122.23994765001947,55.5
1746065722.82,37.872634118322466,-122.23994765001947,50.0
1746065724.82,37.872634118322466,-122.23994765001947,54.0
1746065726.8,37.872634118322466,-122.23994765001947,54.0
1746065728.83,37.872634118322466,-122.23994765001947,62.0
1746065730.82,37.872634118322466,-122.23994765001947,65.5
1746065732.82,37.872634118322466,-122.23994765001947,61.5
1746065734.79,37.872634118322466,-122.23994765001947,61.5
1746065736.82,37.872634118322466,-122.23994765001947,64.5
1746065738.82,37.872634118322466,-122.23994765001947,55.0
1746065740.82,37.872634118322466,-122.23994765001947,55.5
1746065742.82,37.872634118322466,-122.23994765001947,55.0
1746065744.79,37.872634118322466,-122.23994765001947,55.0
1746065746.82,37.872634118322466,-122.23994765001947,67.0
1746065748.84,37.872634118322466,-122.23994765001947,40.5
1746065750.82,37.872634118322466,-122.23994765001947,59.5
1746065752.8,37.872634118322466,-122.23994765001947,59.5
1746065754.82,37.872634118322466,-122.23994765001947,60.5
1746065756.82,37.872634118322466,-122.23994765001947,55.5
1746065758.84,37.872634118322466,-122.23994765001947,60.5
1746065760.82,37.872634118322466,-122.23994765001947,47.5
1746065762.8,37.872634118322466,-122.23994765001947,47.5
1746065764.82,37.872634118322466,-122.23994765001947,43.0
1746065766.82,37.872634118322466,-122.23994765001947,50.5
1746065768.82,37.872634118322466,-122.23994765001947,48.0
1746065770.82,37.872634118322466,-122.23994765001947,43.0
1746065772.82,37.872634118322466,-122.23994765001947,43.0
1746065774.82,37.872634118322466,-122.23994765001947,42.5
1746065776.82,37.872634118322466,-122.23994765001947,59.0
1746065778.82,37.872634118322466,-122.23994765001947,45.5
1746065780.8,37.872634118322466,-122.23994765001947,45.5
1746065782.82,37.872634118322466,-122.23994765001947,42.0
1746065784.82,37.872634118322466,-122.23994765001947,34.0
1746065786.82,37.872634118322466,-122.23994765001947,36.5
1746065788.84,37.872634118322466,-122.23994765001947,50.5
1746065790.8,37.872634118322466,-122.23994765001947,50.5
1746065792.82,37.872634118322466,-122.23994765001947,45.5
1746065794.82,37.872634118322466,-122.23994765001947,44.5
1746065796.82,37.872634118322466,-122.23994765001947,38.5
1746065798.82,37.872634118322466,-122.23994765001947,51.0
1746065800.81,37.872634118322466,-122.23994765001947,51.0
1746065802.82,37.872634118322466,-122.23994765001947,45.0
1746065804.82,37.872634118322466,-122.23994765001947,37.5
1746065806.82,37.872634118322466,-122.23994765001947,49.0
1746065808.8,37.872634118322466,-122.23994765001947,49.0
